id,timestamp,latency_ms
895,1743557569.3297539,1.189
896,1743557569.4325676,2.444
897,1743557568.7337976,1.062
898,1743557568.835122,1.299
899,1743557568.939295,1.135
900,1743557569.043467,1.297
901,1743557569.147951,1.4
902,1743557569.2523248,1.932
903,1743557569.3561044,1.38
904,1743557568.2547152,1.437
905,1743557568.355306,1.16
906,1743557568.4563894,1.408
907,1743557568.5605748,1.426
908,1743557568.6656754,1.971
909,1743557568.7695105,1.762
910,1743557568.8738797,1.746
911,1743557568.9772458,1.175
912,1743557569.082532,1.911
913,1743557569.1874173,2.191
914,1743557569.2890296,1.328
915,1743557569.3945522,2.411
916,1743557569.496032,2.424
917,1743557569.5995302,1.882
918,1743557569.7034998,1.243
919,1743557569.806615,1.548
920,1743557569.9111114,1.929
921,1743557570.0131178,1.83
922,1743557570.1182356,2.14
923,1743557570.2229812,2.488
924,1743557570.3262575,2.61
925,1743557570.429409,1.271
926,1743557570.5315135,2.218
927,1743557570.6352203,1.297
928,1743557570.739876,1.692
929,1743557570.8438675,1.861
930,1743557570.9488187,1.819
931,1743557571.0536058,1.745
932,1743557571.1578999,1.271
933,1743557571.2619696,1.276
934,1743557571.3656507,1.706
935,1743557571.4707415,2.5
936,1743557571.5711663,1.68
937,1743557571.6755795,1.473
938,1743557571.7793648,1.243
939,1743557571.883089,1.192
940,1743557571.9873552,1.224
941,1743557572.0916293,1.379
942,1743557572.1964288,1.806
